MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|IE(SEM)
08.01.2024 09:00 - 08.01.2024 10:00,119,BZN|IE(SEM),
08.01.2024 10:00 - 08.01.2024 11:00,117,BZN|IE(SEM),
08.01.2024 11:00 - 08.01.2024 12:00,109.97,BZN|IE(SEM),
08.01.2024 12:00 - 08.01.2024 13:00,106.33,BZN|IE(SEM),
08.01.2024 13:00 - 08.01.2024 14:00,101.25,BZN|IE(SEM),
08.01.2024 14:00 - 08.01.2024 15:00,103.86,BZN|IE(SEM),
08.01.2024 15:00 - 08.01.2024 16:00,107.46,BZN|IE(SEM),
08.01.2024 16:00 - 08.01.2024 17:00,119.9,BZN|IE(SEM),
08.01.2024 17:00 - 08.01.2024 18:00,136.26,BZN|IE(SEM),
08.01.2024 18:00 - 08.01.2024 19:00,143,BZN|IE(SEM),
08.01.2024 19:00 - 08.01.2024 20:00,130.93,BZN|IE(SEM),
08.01.2024 20:00 - 08.01.2024 21:00,114.31,BZN|IE(SEM),
08.01.2024 21:00 - 08.01.2024 22:00,100,BZN|IE(SEM),
08.01.2024 22:00 - 08.01.2024 23:00,95.64,BZN|IE(SEM),
08.01.2024 23:00 - 09.01.2024 00:00,88.11,BZN|IE(SEM),
09.01.2024 00:00 - 09.01.2024 01:00,86.11,BZN|IE(SEM),
09.01.2024 01:00 - 09.01.2024 02:00,86.45,BZN|IE(SEM),
09.01.2024 02:00 - 09.01.2024 03:00,85.18,BZN|IE(SEM),
09.01.2024 03:00 - 09.01.2024 04:00,85.05,BZN|IE(SEM),
09.01.2024 04:00 - 09.01.2024 05:00,85.05,BZN|IE(SEM),
09.01.2024 05:00 - 09.01.2024 06:00,85.05,BZN|IE(SEM),
09.01.2024 06:00 - 09.01.2024 07:00,85.05,BZN|IE(SEM),
09.01.2024 07:00 - 09.01.2024 08:00,87.7,BZN|IE(SEM),
09.01.2024 08:00 - 09.01.2024 09:00,110.57,BZN|IE(SEM),
09.01.2024 09:00 - 09.01.2024 10:00,118.11,BZN|IE(SEM),
09.01.2024 10:00 - 09.01.2024 11:00,110.31,BZN|IE(SEM),
09.01.2024 11:00 - 09.01.2024 12:00,101.01,BZN|IE(SEM),
09.01.2024 12:00 - 09.01.2024 13:00,97.34,BZN|IE(SEM),
09.01.2024 13:00 - 09.01.2024 14:00,96.99,BZN|IE(SEM),
09.01.2024 14:00 - 09.01.2024 15:00,98.11,BZN|IE(SEM),
09.01.2024 15:00 - 09.01.2024 16:00,106.53,BZN|IE(SEM),
09.01.2024 16:00 - 09.01.2024 17:00,122.7,BZN|IE(SEM),
09.01.2024 17:00 - 09.01.2024 18:00,141.08,BZN|IE(SEM),
09.01.2024 18:00 - 09.01.2024 19:00,146.53,BZN|IE(SEM),
09.01.2024 19:00 - 09.01.2024 20:00,139.1,BZN|IE(SEM),
09.01.2024 20:00 - 09.01.2024 21:00,123.21,BZN|IE(SEM),
09.01.2024 21:00 - 09.01.2024 22:00,105.74,BZN|IE(SEM),
09.01.2024 22:00 - 09.01.2024 23:00,96.11,BZN|IE(SEM),
09.01.2024 23:00 - 10.01.2024 00:00,89.8,BZN|IE(SEM),
10.01.2024 00:00 - 10.01.2024 01:00,82.5,BZN|IE(SEM),
10.01.2024 01:00 - 10.01.2024 02:00,82,BZN|IE(SEM),
10.01.2024 02:00 - 10.01.2024 03:00,82.14,BZN|IE(SEM),
10.01.2024 03:00 - 10.01.2024 04:00,80.57,BZN|IE(SEM),
10.01.2024 04:00 - 10.01.2024 05:00,81.44,BZN|IE(SEM),
10.01.2024 05:00 - 10.01.2024 06:00,82.89,BZN|IE(SEM),
10.01.2024 06:00 - 10.01.2024 07:00,83,BZN|IE(SEM),
10.01.2024 07:00 - 10.01.2024 08:00,86.45,BZN|IE(SEM),
10.01.2024 08:00 - 10.01.2024 09:00,113.91,BZN|IE(SEM),
10.01.2024 09:00 - 10.01.2024 10:00,125.65,BZN|IE(SEM),
10.01.2024 10:00 - 10.01.2024 11:00,123.96,BZN|IE(SEM),
10.01.2024 11:00 - 10.01.2024 12:00,119.71,BZN|IE(SEM),
10.01.2024 12:00 - 10.01.2024 13:00,115.55,BZN|IE(SEM),
10.01.2024 13:00 - 10.01.2024 14:00,119,BZN|IE(SEM),
10.01.2024 14:00 - 10.01.2024 15:00,122.5,BZN|IE(SEM),
10.01.2024 15:00 - 10.01.2024 16:00,127.69,BZN|IE(SEM),
10.01.2024 16:00 - 10.01.2024 17:00,141.2,BZN|IE(SEM),
10.01.2024 17:00 - 10.01.2024 18:00,155,BZN|IE(SEM),
10.01.2024 18:00 - 10.01.2024 19:00,184.83,BZN|IE(SEM),
10.01.2024 19:00 - 10.01.2024 20:00,158.6,BZN|IE(SEM),
10.01.2024 20:00 - 10.01.2024 21:00,129.5,BZN|IE(SEM),
10.01.2024 21:00 - 10.01.2024 22:00,115,BZN|IE(SEM),
10.01.2024 22:00 - 10.01.2024 23:00,103.8,BZN|IE(SEM),
10.01.2024 23:00 - 11.01.2024 00:00,90.59,BZN|IE(SEM),
11.01.2024 00:00 - 11.01.2024 01:00,88.96,BZN|IE(SEM),
11.01.2024 01:00 - 11.01.2024 02:00,86.34,BZN|IE(SEM),
11.01.2024 02:00 - 11.01.2024 03:00,86.84,BZN|IE(SEM),
11.01.2024 03:00 - 11.01.2024 04:00,84.66,BZN|IE(SEM),
11.01.2024 04:00 - 11.01.2024 05:00,84.66,BZN|IE(SEM),
11.01.2024 05:00 - 11.01.2024 06:00,86,BZN|IE(SEM),
11.01.2024 06:00 - 11.01.2024 07:00,84.66,BZN|IE(SEM),
11.01.2024 07:00 - 11.01.2024 08:00,92.97,BZN|IE(SEM),
11.01.2024 08:00 - 11.01.2024 09:00,128,BZN|IE(SEM),
11.01.2024 09:00 - 11.01.2024 10:00,133,BZN|IE(SEM),
11.01.2024 10:00 - 11.01.2024 11:00,126,BZN|IE(SEM),
11.01.2024 11:00 - 11.01.2024 12:00,118.08,BZN|IE(SEM),
11.01.2024 12:00 - 11.01.2024 13:00,112.79,BZN|IE(SEM),
11.01.2024 13:00 - 11.01.2024 14:00,113.27,BZN|IE(SEM),
11.01.2024 14:00 - 11.01.2024 15:00,113,BZN|IE(SEM),
11.01.2024 15:00 - 11.01.2024 16:00,123,BZN|IE(SEM),
11.01.2024 16:00 - 11.01.2024 17:00,135.62,BZN|IE(SEM),
11.01.2024 17:00 - 11.01.2024 18:00,150.4,BZN|IE(SEM),
11.01.2024 18:00 - 11.01.2024 19:00,188.3,BZN|IE(SEM),
11.01.2024 19:00 - 11.01.2024 20:00,171,BZN|IE(SEM),
11.01.2024 20:00 - 11.01.2024 21:00,135.7,BZN|IE(SEM),
11.01.2024 21:00 - 11.01.2024 22:00,113,BZN|IE(SEM),
11.01.2024 22:00 - 11.01.2024 23:00,103,BZN|IE(SEM),
11.01.2024 23:00 - 12.01.2024 00:00,94,BZN|IE(SEM),
12.01.2024 00:00 - 12.01.2024 01:00,96.19,BZN|IE(SEM),
12.01.2024 01:00 - 12.01.2024 02:00,94.98,BZN|IE(SEM),
12.01.2024 02:00 - 12.01.2024 03:00,100,BZN|IE(SEM),
12.01.2024 03:00 - 12.01.2024 04:00,99.21,BZN|IE(SEM),
12.01.2024 04:00 - 12.01.2024 05:00,99.21,BZN|IE(SEM),
12.01.2024 05:00 - 12.01.2024 06:00,98.01,BZN|IE(SEM),
12.01.2024 06:00 - 12.01.2024 07:00,95,BZN|IE(SEM),
12.01.2024 07:00 - 12.01.2024 08:00,104.97,BZN|IE(SEM),
12.01.2024 08:00 - 12.01.2024 09:00,140.84,BZN|IE(SEM),
12.01.2024 09:00 - 12.01.2024 10:00,163.45,BZN|IE(SEM),
12.01.2024 10:00 - 12.01.2024 11:00,165.2,BZN|IE(SEM),
12.01.2024 11:00 - 12.01.2024 12:00,206.99,BZN|IE(SEM),
12.01.2024 12:00 - 12.01.2024 13:00,200,BZN|IE(SEM),
12.01.2024 13:00 - 12.01.2024 14:00,189.42,BZN|IE(SEM),
12.01.2024 14:00 - 12.01.2024 15:00,169.76,BZN|IE(SEM),
12.01.2024 15:00 - 12.01.2024 16:00,164.58,BZN|IE(SEM),
12.01.2024 16:00 - 12.01.2024 17:00,171.33,BZN|IE(SEM),
12.01.2024 17:00 - 12.01.2024 18:00,184.48,BZN|IE(SEM),
12.01.2024 18:00 - 12.01.2024 19:00,272.9,BZN|IE(SEM),
