MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
07.06.2024 20:00 - 07.06.2024 21:00,154.75,EUR,
07.06.2024 21:00 - 07.06.2024 22:00,153.85,EUR,
07.06.2024 22:00 - 07.06.2024 23:00,126.88,EUR,
07.06.2024 23:00 - 08.06.2024 00:00,97.45,EUR,
08.06.2024 00:00 - 08.06.2024 01:00,98.36,EUR,
08.06.2024 01:00 - 08.06.2024 02:00,90.04,EUR,
08.06.2024 02:00 - 08.06.2024 03:00,83.31,EUR,
08.06.2024 03:00 - 08.06.2024 04:00,83.53,EUR,
08.06.2024 04:00 - 08.06.2024 05:00,79.64,EUR,
08.06.2024 05:00 - 08.06.2024 06:00,82.11,EUR,
08.06.2024 06:00 - 08.06.2024 07:00,79.38,EUR,
08.06.2024 07:00 - 08.06.2024 08:00,62.82,EUR,
08.06.2024 08:00 - 08.06.2024 09:00,42.2,EUR,
08.06.2024 09:00 - 08.06.2024 10:00,12.24,EUR,
08.06.2024 10:00 - 08.06.2024 11:00,-0.13,EUR,
08.06.2024 11:00 - 08.06.2024 12:00,-2.27,EUR,
08.06.2024 12:00 - 08.06.2024 13:00,-10.26,EUR,
08.06.2024 13:00 - 08.06.2024 14:00,-23.7,EUR,
08.06.2024 14:00 - 08.06.2024 15:00,-30.03,EUR,
08.06.2024 15:00 - 08.06.2024 16:00,-20.62,EUR,
08.06.2024 16:00 - 08.06.2024 17:00,-8.25,EUR,
08.06.2024 17:00 - 08.06.2024 18:00,0.01,EUR,
08.06.2024 18:00 - 08.06.2024 19:00,44.91,EUR,
08.06.2024 19:00 - 08.06.2024 20:00,68.84,EUR,
08.06.2024 20:00 - 08.06.2024 21:00,99.32,EUR,
08.06.2024 21:00 - 08.06.2024 22:00,93.01,EUR,
08.06.2024 22:00 - 08.06.2024 23:00,100,EUR,
08.06.2024 23:00 - 09.06.2024 00:00,78.79,EUR,
09.06.2024 00:00 - 09.06.2024 01:00,74.28,EUR,
09.06.2024 01:00 - 09.06.2024 02:00,63.59,EUR,
09.06.2024 02:00 - 09.06.2024 03:00,42.52,EUR,
09.06.2024 03:00 - 09.06.2024 04:00,15.57,EUR,
09.06.2024 04:00 - 09.06.2024 05:00,18.19,EUR,
09.06.2024 05:00 - 09.06.2024 06:00,11.56,EUR,
09.06.2024 06:00 - 09.06.2024 07:00,8.4,EUR,
09.06.2024 07:00 - 09.06.2024 08:00,2.22,EUR,
09.06.2024 08:00 - 09.06.2024 09:00,-0.08,EUR,
09.06.2024 09:00 - 09.06.2024 10:00,-2.01,EUR,
09.06.2024 10:00 - 09.06.2024 11:00,-7.6,EUR,
09.06.2024 11:00 - 09.06.2024 12:00,-15,EUR,
09.06.2024 12:00 - 09.06.2024 13:00,-25,EUR,
09.06.2024 13:00 - 09.06.2024 14:00,-32.69,EUR,
09.06.2024 14:00 - 09.06.2024 15:00,-37.14,EUR,
09.06.2024 15:00 - 09.06.2024 16:00,-28.68,EUR,
09.06.2024 16:00 - 09.06.2024 17:00,-5.84,EUR,
09.06.2024 17:00 - 09.06.2024 18:00,-0.5,EUR,
09.06.2024 18:00 - 09.06.2024 19:00,42.76,EUR,
09.06.2024 19:00 - 09.06.2024 20:00,96.85,EUR,
09.06.2024 20:00 - 09.06.2024 21:00,115.86,EUR,
09.06.2024 21:00 - 09.06.2024 22:00,111.24,EUR,
09.06.2024 22:00 - 09.06.2024 23:00,108.42,EUR,
09.06.2024 23:00 - 10.06.2024 00:00,97.21,EUR,
10.06.2024 00:00 - 10.06.2024 01:00,73.96,EUR,
10.06.2024 01:00 - 10.06.2024 02:00,71.59,EUR,
10.06.2024 02:00 - 10.06.2024 03:00,68.73,EUR,
10.06.2024 03:00 - 10.06.2024 04:00,68.27,EUR,
10.06.2024 04:00 - 10.06.2024 05:00,69,EUR,
10.06.2024 05:00 - 10.06.2024 06:00,78.32,EUR,
10.06.2024 06:00 - 10.06.2024 07:00,117.4,EUR,
10.06.2024 07:00 - 10.06.2024 08:00,185.18,EUR,
10.06.2024 08:00 - 10.06.2024 09:00,146.21,EUR,
10.06.2024 09:00 - 10.06.2024 10:00,107.25,EUR,
10.06.2024 10:00 - 10.06.2024 11:00,89.46,EUR,
10.06.2024 11:00 - 10.06.2024 12:00,85.04,EUR,
10.06.2024 12:00 - 10.06.2024 13:00,74.3,EUR,
10.06.2024 13:00 - 10.06.2024 14:00,73.59,EUR,
10.06.2024 14:00 - 10.06.2024 15:00,67.07,EUR,
